date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,date,new_cases,new_deaths,total_cases,total_deaths
2020-03-15,14,4,0.0,11.6,1,1,55,No moonrise,09:59 AM,06:04 AM,06:01 PM,-8,9,9,9,6,22,30,0.0,1021,14,10,210,4,Afghanistan,2020-03-15,3.0,0.0,10.0,0.0
2020-03-16,14,5,0.0,11.6,1,1,47,12:33 AM,10:45 AM,06:02 AM,06:02 PM,-7,10,10,10,5,33,31,0.0,1020,14,10,221,4,Afghanistan,2020-03-16,6.0,0.0,16.0,0.0
2020-03-09,13,6,0.0,4.3,1,1,100,05:25 PM,06:11 AM,06:02 AM,05:41 PM,5,8,8,8,9,71,82,2.1,1012,13,10,302,6,Albania,2020-03-09,0.0,0.0,2.0,0.0
2020-03-10,11,5,0.0,11.4,1,1,100,06:42 PM,06:44 AM,06:00 AM,05:42 PM,3,7,7,7,11,15,74,0.0,1013,11,10,329,6,Albania,2020-03-10,0.0,0.0,2.0,0.0
2020-03-11,15,4,0.0,11.6,1,1,84,07:59 PM,07:16 AM,05:59 AM,05:44 PM,3,8,9,8,10,14,69,0.0,1020,15,10,309,6,Albania,2020-03-11,8.0,0.0,10.0,0.0
2020-03-12,21,9,0.0,11.6,1,1,76,09:15 PM,07:47 AM,05:57 AM,05:45 PM,9,15,15,15,7,7,68,0.0,1020,21,10,309,5,Albania,2020-03-12,0.0,0.0,10.0,0.0
2020-03-13,20,12,0.0,11.6,1,1,69,10:29 PM,08:19 AM,05:55 AM,05:46 PM,9,16,16,16,6,11,66,0.0,1014,20,10,290,5,Albania,2020-03-13,13.0,0.0,23.0,0.0
2020-03-14,20,12,0.0,11.6,1,1,62,11:42 PM,08:55 AM,05:54 AM,05:47 PM,9,15,16,15,5,21,71,0.1,1014,20,10,278,4,Albania,2020-03-14,10.0,0.0,33.0,1.0
2020-03-15,15,9,0.0,7.4,1,1,55,No moonrise,09:35 AM,05:52 AM,05:48 PM,8,11,12,11,10,67,77,5.4,1017,15,9,19,8,Albania,2020-03-15,5.0,0.0,38.0,1.0
2020-03-16,17,7,0.0,11.6,1,1,47,12:49 AM,10:19 AM,05:51 AM,05:49 PM,3,10,11,10,11,4,59,0.0,1026,17,10,103,8,Albania,2020-03-16,4.0,0.0,42.0,1.0
2020-02-26,18,14,0.0,8.6,1,1,15,09:04 AM,09:18 PM,07:24 AM,06:38 PM,9,16,16,16,15,37,64,0.8,1019,18,10,290,12,Algeria,2020-02-26,0.0,0.0,1.0,0.0
2020-02-27,19,13,0.0,11.2,1,1,23,09:30 AM,10:13 PM,07:22 AM,06:39 PM,10,16,16,16,11,13,65,0.1,1021,19,10,266,9,Algeria,2020-02-27,0.0,0.0,1.0,0.0
2020-02-28,23,14,0.0,11.2,1,1,30,09:56 AM,11:10 PM,07:21 AM,06:40 PM,8,18,19,18,9,3,50,0.0,1021,23,10,195,7,Algeria,2020-02-28,0.0,0.0,1.0,0.0
2020-02-29,22,16,0.0,11.2,1,1,38,10:24 AM,No moonset,07:20 AM,06:41 PM,6,19,20,19,15,26,42,0.0,1017,22,10,257,11,Algeria,2020-02-29,0.0,0.0,1.0,0.0
2020-03-01,20,16,0.0,11.2,1,1,44,10:56 AM,12:07 AM,07:18 AM,06:42 PM,9,18,18,18,20,26,57,0.0,1017,20,10,261,15,Algeria,2020-03-01,0.0,0.0,1.0,0.0
2020-03-02,20,14,0.0,10.1,1,1,51,11:31 AM,01:06 AM,07:17 AM,06:43 PM,8,17,17,17,36,44,58,4.2,1013,20,10,255,23,Algeria,2020-03-02,0.0,0.0,1.0,0.0
2020-03-03,16,11,0.0,11.3,1,1,58,12:12 PM,02:05 AM,07:16 AM,06:44 PM,5,12,13,12,41,39,54,5.0,1017,16,10,274,25,Algeria,2020-03-03,4.0,0.0,5.0,0.0
2020-03-04,18,13,0.0,8.6,1,1,65,01:01 PM,03:05 AM,07:14 AM,06:45 PM,11,15,16,15,31,46,74,1.1,1019,18,10,295,20,Algeria,2020-03-04,0.0,0.0,5.0,0.0
2020-03-05,22,14,0.0,11.3,1,1,73,01:58 PM,04:04 AM,07:13 AM,06:46 PM,11,17,18,17,16,32,66,0.0,1015,22,10,271,12,Algeria,2020-03-05,7.0,0.0,12.0,0.0
2020-03-06,17,13,0.0,5.7,1,1,80,03:02 PM,04:59 AM,07:11 AM,06:47 PM,7,13,15,13,41,68,62,3.0,1015,17,9,284,30,Algeria,2020-03-06,0.0,0.0,12.0,0.0
2020-03-07,14,10,0.0,5.7,1,1,87,04:12 PM,05:49 AM,07:10 AM,06:48 PM,5,10,13,10,31,78,60,3.5,1021,14,9,333,25,Algeria,2020-03-07,5.0,0.0,17.0,0.0
2020-03-08,18,11,0.0,11.4,1,1,95,05:26 PM,06:33 AM,07:09 AM,06:49 PM,5,14,15,14,10,14,53,0.3,1025,18,10,282,8,Algeria,2020-03-08,0.0,0.0,17.0,0.0
2020-03-09,15,10,0.0,10.1,1,1,100,06:40 PM,07:14 AM,07:07 AM,06:50 PM,4,12,13,12,23,41,54,0.3,1022,15,10,309,14,Algeria,2020-03-09,3.0,0.0,20.0,0.0
2020-03-10,14,10,0.0,11.5,1,1,100,07:55 PM,07:50 AM,07:06 AM,06:51 PM,5,11,12,11,23,39,63,0.5,1024,14,10,34,14,Algeria,2020-03-10,0.0,0.0,20.0,0.0
2020-03-11,24,11,0.0,11.5,1,1,84,09:08 PM,08:25 AM,07:04 AM,06:52 PM,6,18,18,18,9,4,47,0.0,1024,24,10,151,6,Algeria,2020-03-11,0.0,0.0,20.0,0.0
2020-03-12,28,17,0.0,11.5,1,1,76,10:20 PM,08:59 AM,07:03 AM,06:53 PM,10,23,23,22,11,5,47,0.0,1020,28,10,89,7,Algeria,2020-03-12,5.0,0.0,25.0,1.0
2020-03-13,22,15,0.0,11.5,1,1,69,11:31 PM,09:35 AM,07:01 AM,06:54 PM,8,19,19,19,18,20,50,0.4,1016,22,10,268,10,Algeria,2020-03-13,0.0,0.0,25.0,1.0
2020-03-14,19,15,0.0,11.6,1,1,62,No moonrise,10:13 AM,07:00 AM,06:55 PM,13,16,16,16,15,35,79,4.0,1018,19,10,236,10,Algeria,2020-03-14,1.0,1.0,26.0,2.0
2020-03-15,21,13,0.0,10.2,1,1,55,12:40 AM,10:56 AM,06:58 AM,06:55 PM,13,17,17,17,12,36,74,6.9,1016,21,10,59,9,Algeria,2020-03-15,11.0,1.0,37.0,3.0
2020-03-16,22,17,0.0,10.2,1,1,47,01:46 AM,11:43 AM,06:57 AM,06:56 PM,13,18,19,18,10,40,70,2.0,1013,22,10,278,8,Algeria,2020-03-16,12.0,0.0,49.0,3.0
