date,location,new_cases,new_deaths,total_cases,total_deaths,incubationDateStart,incubationDateEnd,maxtempC,mintempC,FeelsLikeC,HeatIndexC,WindChillC,humidity,tempC
2020-03-15 00:00:00,Albania,5.0,0.0,38,1.0,2020-03-01 00:00:00,2020-03-08 00:00:00,13.0,7.0,8.5,9.5,8.5,74.0,13.0
2020-03-16 00:00:00,Albania,4.0,0.0,42,1.0,2020-03-02 00:00:00,2020-03-09 00:00:00,13.0,7.0,8.0,9.5,8.0,78.5,13.0
2020-03-17 00:00:00,Albania,9.0,0.0,51,1.0,2020-03-03 00:00:00,2020-03-10 00:00:00,12.5,6.5,8.0,9.0,8.0,78.5,12.5
2020-02-26 00:00:00,Algeria,,,1,,2020-02-12 00:00:00,2020-02-19 00:00:00,22.5,15.0,18.5,18.5,18.5,69.0,22.5
2020-02-27 00:00:00,Algeria,0.0,,1,,2020-02-13 00:00:00,2020-02-20 00:00:00,21.0,14.0,17.0,17.0,17.0,69.5,21.0
2020-02-28 00:00:00,Algeria,0.0,,1,,2020-02-14 00:00:00,2020-02-21 00:00:00,21.0,14.0,17.0,17.0,17.0,69.0,21.0
2020-02-29 00:00:00,Algeria,0.0,,1,,2020-02-15 00:00:00,2020-02-22 00:00:00,20.0,14.0,16.5,16.5,16.5,68.5,20.0
2020-03-01 00:00:00,Algeria,0.0,,1,,2020-02-16 00:00:00,2020-02-23 00:00:00,20.0,14.0,16.5,16.5,16.5,68.0,20.0
2020-03-02 00:00:00,Algeria,0.0,,1,,2020-02-17 00:00:00,2020-02-24 00:00:00,20.0,14.0,16.5,16.5,16.5,68.0,20.0
2020-03-03 00:00:00,Algeria,4.0,,5,,2020-02-18 00:00:00,2020-02-25 00:00:00,20.0,14.0,16.5,16.5,16.5,68.0,20.0
2020-03-04 00:00:00,Algeria,0.0,,5,,2020-02-19 00:00:00,2020-02-26 00:00:00,20.0,14.0,16.5,16.5,16.5,65.5,20.0
2020-03-05 00:00:00,Algeria,7.0,,12,,2020-02-20 00:00:00,2020-02-27 00:00:00,20.0,14.0,16.5,16.5,16.5,64.5,20.0
2020-03-06 00:00:00,Algeria,0.0,,12,,2020-02-21 00:00:00,2020-02-28 00:00:00,20.0,14.0,17.0,17.0,17.0,58.0,20.0
2020-03-07 00:00:00,Algeria,5.0,,17,,2020-02-22 00:00:00,2020-02-29 00:00:00,20.0,14.0,17.5,17.5,17.5,51.5,20.0
2020-03-08 00:00:00,Algeria,0.0,,17,,2020-02-23 00:00:00,2020-03-01 00:00:00,20.0,14.5,18.0,18.0,18.0,51.5,20.0
2020-03-09 00:00:00,Algeria,3.0,,20,,2020-02-24 00:00:00,2020-03-02 00:00:00,20.0,14.5,18.0,18.0,18.0,54.0,20.0
2020-03-10 00:00:00,Algeria,0.0,,20,,2020-02-25 00:00:00,2020-03-03 00:00:00,20.0,14.0,17.5,17.5,17.5,55.5,20.0
2020-03-11 00:00:00,Algeria,0.0,,20,,2020-02-26 00:00:00,2020-03-04 00:00:00,19.5,14.0,16.5,16.5,16.5,57.5,19.5
2020-03-12 00:00:00,Algeria,5.0,,25,1.0,2020-02-27 00:00:00,2020-03-05 00:00:00,20.0,14.0,17.0,17.5,17.0,57.5,20.0
2020-03-13 00:00:00,Algeria,0.0,0.0,25,1.0,2020-02-28 00:00:00,2020-03-06 00:00:00,20.0,14.0,17.0,17.5,17.0,57.5,20.0
